Dealer Order #,Dealer ID,Dealer Name,State,Order Date,Requested Ship Date,SKU,Class,Size,Trim,Qty,Wholesale Price,Fulfilled (Y/N),Shipped
DO-20025,D-112,Riverbend Bike Shop,PA,09/10/2025,10/04/2025,RW-9324,MTB,M,Base,11,1655,Y,10/06/2025
DO-20029,D-144,Cedar Ridge Cycles,WA,09/10/2025,09/26/2025,RW-4418,MTB,M,Carbon,4,3527,Y,09/24/2025
DO-20002,D-114,Coastal Ride Co,MI,09/11/2025,10/01/2025,RW-3980,Road,S,Carbon,7,2879,Y,09/21/2025
DO-20009,D-124,Foothills Bicycles,WA,09/11/2025,10/03/2025,RW-9835,Road,M,Base,2,1367,Y,10/01/2025
DO-20013,D-141,Basin Bike Shop,CA,09/11/2025,10/09/2025,RW-2984,Road,M,Carbon,6,2879,Y,09/26/2025
DO-20023,D-130,Big Sky Bikes,NY,09/11/2025,10/05/2025,RW-9304,MTB,S,Carbon,1,3527,Y,10/06/2025
DO-20034,D-135,Elk Creek Cycles,MN,09/11/2025,09/25/2025,RW-9901,MTB,L,Base,1,1655,Y,09/20/2025
DO-20035,D-114,Coastal Ride Co,MI,09/11/2025,10/08/2025,RW-6416,MTB,L,Carbon,10,3527,Y,09/25/2025
DO-20007,D-123,Metro Velo,OR,09/12/2025,10/04/2025,RW-9835,Road,M,Base,4,1367,Y,10/03/2025
DO-20014,D-125,Switchback Cycles,UT,09/12/2025,10/10/2025,RW-2984,Road,M,Carbon,5,2879,Y,09/23/2025
DO-20021,D-141,Basin Bike Shop,CA,09/12/2025,10/02/2025,RW-9304,MTB,S,Carbon,9,3527,Y,09/24/2025
DO-20011,D-119,Pinecrest Bikes,MT,09/13/2025,10/08/2025,RW-2984,Road,M,Carbon,7,2879,Y,10/11/2025
DO-20016,D-143,Overlook Bikes,OR,09/13/2025,09/27/2025,RW-7298,Road,L,Base,4,1367,Y,09/30/2025
DO-20030,D-122,Evergreen Cycle Shop,CO,09/13/2025,10/07/2025,RW-4418,MTB,M,Carbon,4,3527,Y,10/08/2025
DO-20031,D-110,Bluegrass Bicycles,NY,09/13/2025,09/27/2025,RW-4418,MTB,M,Carbon,2,3527,Y,10/05/2025
DO-20003,D-129,Blue Ridge Cyclery,VT,09/14/2025,10/10/2025,RW-3980,Road,S,Carbon,4,2879,Y,10/13/2025
DO-20005,D-133,Rimrock Cyclery,IL,09/14/2025,10/01/2025,RW-9835,Road,M,Base,3,1367,Y,09/24/2025
DO-20008,D-118,Lakeshore Cyclery,ID,09/14/2025,10/04/2025,RW-9835,Road,M,Base,3,1367,Y,10/10/2025
DO-20020,D-139,Tidewater Bicycles,MT,09/14/2025,09/28/2025,RW-9304,MTB,S,Carbon,5,3527,Y,09/22/2025
DO-20028,D-123,Metro Velo,OR,09/14/2025,10/04/2025,RW-4418,MTB,M,Carbon,2,3527,Y,10/13/2025
DO-20039,D-120,Stone Bridge Cycles,NM,09/15/2025,10/04/2025,RW-3980,Road,S,Carbon,3,2879,Y,10/01/2025
DO-20055,D-135,Elk Creek Cycles,MN,09/15/2025,10/07/2025,RW-9304,MTB,S,Carbon,4,3527,Y,09/27/2025
DO-20060,D-122,Evergreen Cycle Shop,CO,09/15/2025,10/08/2025,RW-4418,MTB,M,Carbon,12,3527,Y,09/25/2025
DO-20040,D-102,Ridgeback Bikes,CO,09/16/2025,10/08/2025,RW-9835,Road,M,Base,4,1367,Y,10/05/2025
DO-20047,D-113,Granite Peak Cycles,IL,09/16/2025,10/02/2025,RW-7298,Road,L,Base,4,1367,Y,09/26/2025
DO-20050,D-120,Stone Bridge Cycles,NM,09/16/2025,10/02/2025,RW-7298,Road,L,Base,9,1367,Y,10/03/2025
DO-20058,D-135,Elk Creek Cycles,MN,09/16/2025,10/13/2025,RW-9324,MTB,M,Base,12,1655,Y,09/25/2025
DO-20044,D-105,Trailhead Bicycle Co,UT,09/17/2025,10/04/2025,RW-2984,Road,M,Carbon,2,2879,Y,10/02/2025
DO-20059,D-107,Iron Horse Cycles,TX,09/17/2025,10/14/2025,RW-9324,MTB,M,Base,8,1655,Y,10/02/2025
DO-20036,D-136,Capitol Cyclery,GA,09/18/2025,10/10/2025,RW-3980,Road,S,Carbon,9,2879,Y,10/03/2025
DO-20037,D-115,Alpine Wheels,MN,09/18/2025,10/15/2025,RW-3980,Road,S,Carbon,3,2879,Y,09/30/2025
DO-20052,D-126,Harbor Bikes,AZ,09/18/2025,10/15/2025,RW-1378,Road,L,Carbon,4,2879,Y,09/25/2025
DO-20053,D-123,Metro Velo,OR,09/18/2025,10/09/2025,RW-9304,MTB,S,Carbon,12,3527,Y,10/07/2025
DO-20062,D-133,Rimrock Cyclery,IL,09/18/2025,10/08/2025,RW-9901,MTB,L,Base,9,1655,Y,10/01/2025
DO-20038,D-114,Coastal Ride Co,MI,09/19/2025,10/05/2025,RW-3980,Road,S,Carbon,7,2879,Y,10/11/2025
DO-20041,D-132,Bayside Bicycle Co,PA,09/19/2025,10/08/2025,RW-9835,Road,M,Base,11,1367,Y,10/05/2025
DO-20043,D-129,Blue Ridge Cyclery,VT,09/19/2025,10/17/2025,RW-9835,Road,M,Base,1,1367,Y,09/28/2025
DO-20051,D-114,Coastal Ride Co,MI,09/19/2025,10/14/2025,RW-1378,Road,L,Carbon,9,2879,Y,10/17/2025
DO-20063,D-107,Iron Horse Cycles,TX,09/19/2025,10/14/2025,RW-6416,MTB,L,Carbon,10,3527,Y,09/28/2025
DO-20046,D-131,Copperline Cycles,MA,09/20/2025,10/09/2025,RW-2984,Road,M,Carbon,5,2879,Y,10/15/2025
DO-20056,D-136,Capitol Cyclery,GA,09/20/2025,10/14/2025,RW-9324,MTB,M,Base,10,1655,Y,10/13/2025
DO-20057,D-103,Cascade Cyclery,OR,09/20/2025,10/18/2025,RW-9324,MTB,M,Base,10,1655,Y,10/18/2025
DO-20061,D-124,Foothills Bicycles,WA,09/20/2025,10/18/2025,RW-4418,MTB,M,Carbon,2,3527,Y,09/29/2025
DO-20042,D-123,Metro Velo,OR,09/21/2025,10/06/2025,RW-9835,Road,M,Base,11,1367,Y,10/08/2025
DO-20045,D-128,Sierra Bike Works,NC,09/21/2025,10/06/2025,RW-2984,Road,M,Carbon,12,2879,Y,10/15/2025
DO-20048,D-141,Basin Bike Shop,CA,09/21/2025,10/11/2025,RW-7298,Road,L,Base,6,1367,Y,10/16/2025
DO-20049,D-115,Alpine Wheels,MN,09/21/2025,10/13/2025,RW-7298,Road,L,Base,5,1367,Y,10/06/2025
DO-20054,D-135,Elk Creek Cycles,MN,09/21/2025,10/13/2025,RW-9304,MTB,S,Carbon,2,3527,Y,10/03/2025
DO-20065,D-119,Pinecrest Bikes,MT,09/22/2025,10/08/2025,RW-3980,Road,S,Carbon,10,2879,Y,10/09/2025
DO-20067,D-119,Pinecrest Bikes,MT,09/22/2025,10/16/2025,RW-3980,Road,S,Carbon,7,2879,Y,10/02/2025
DO-20068,D-125,Switchback Cycles,UT,09/22/2025,10/07/2025,RW-9835,Road,M,Base,4,1367,Y,10/10/2025
DO-20071,D-133,Rimrock Cyclery,IL,09/22/2025,10/14/2025,RW-9835,Road,M,Base,3,1367,Y,10/15/2025
DO-20082,D-131,Copperline Cycles,MA,09/22/2025,10/19/2025,RW-7298,Road,L,Base,1,1367,Y,10/15/2025
DO-20092,D-119,Pinecrest Bikes,MT,09/22/2025,10/16/2025,RW-4418,MTB,M,Carbon,7,3527,Y,10/02/2025
DO-20094,D-116,Timberline Bikes,GA,09/22/2025,10/11/2025,RW-9901,MTB,L,Base,9,1655,Y,10/03/2025
DO-20097,D-102,Ridgeback Bikes,CO,09/22/2025,10/16/2025,RW-6416,MTB,L,Carbon,3,3527,Y,10/08/2025
DO-20080,D-112,Riverbend Bike Shop,PA,09/23/2025,10/18/2025,RW-7298,Road,L,Base,5,1367,Y,10/19/2025
DO-20084,D-128,Sierra Bike Works,NC,09/23/2025,10/09/2025,RW-1378,Road,L,Carbon,7,2879,Y,10/12/2025
DO-20088,D-116,Timberline Bikes,GA,09/23/2025,10/21/2025,RW-9324,MTB,M,Base,7,1655,Y,10/21/2025
DO-20090,D-123,Metro Velo,OR,09/23/2025,10/19/2025,RW-9324,MTB,M,Base,7,1655,Y,10/12/2025
DO-20095,D-118,Lakeshore Cyclery,ID,09/23/2025,10/16/2025,RW-9901,MTB,L,Base,2,1655,Y,10/17/2025
DO-20075,D-123,Metro Velo,OR,09/24/2025,10/19/2025,RW-2984,Road,M,Carbon,4,2879,Y,10/19/2025
DO-20078,D-114,Coastal Ride Co,MI,09/24/2025,10/18/2025,RW-7298,Road,L,Base,2,1367,Y,10/16/2025
DO-20087,D-115,Alpine Wheels,MN,09/24/2025,10/10/2025,RW-9304,MTB,S,Carbon,6,3527,Y,10/19/2025
DO-20093,D-124,Foothills Bicycles,WA,09/24/2025,10/10/2025,RW-4418,MTB,M,Carbon,4,3527,Y,10/18/2025
DO-20069,D-103,Cascade Cyclery,OR,09/25/2025,10/15/2025,RW-9835,Road,M,Base,4,1367,Y,10/23/2025
DO-20073,D-136,Capitol Cyclery,GA,09/25/2025,10/20/2025,RW-2984,Road,M,Carbon,2,2879,Y,10/15/2025
DO-20083,D-114,Coastal Ride Co,MI,09/25/2025,10/17/2025,RW-1378,Road,L,Carbon,3,2879,Y,10/09/2025
DO-20089,D-126,Harbor Bikes,AZ,09/25/2025,10/18/2025,RW-9324,MTB,M,Base,5,1655,Y,10/22/2025
DO-20096,D-143,Overlook Bikes,OR,09/25/2025,10/16/2025,RW-9901,MTB,L,Base,1,1655,Y,10/05/2025
DO-20077,D-131,Copperline Cycles,MA,09/26/2025,10/18/2025,RW-7298,Road,L,Base,8,1367,Y,10/23/2025
DO-20079,D-106,Velo Republic,AZ,09/26/2025,10/19/2025,RW-7298,Road,L,Base,7,1367,Y,10/11/2025
DO-20081,D-136,Capitol Cyclery,GA,09/26/2025,10/20/2025,RW-7298,Road,L,Base,2,1367,Y,10/14/2025
DO-20085,D-145,Frontier Bicycle Works,UT,09/26/2025,10/22/2025,RW-1378,Road,L,Carbon,2,2879,Y,10/07/2025
DO-20064,D-107,Iron Horse Cycles,TX,09/27/2025,10/20/2025,RW-3980,Road,S,Carbon,4,2879,Y,10/06/2025
DO-20070,D-141,Basin Bike Shop,CA,09/27/2025,10/17/2025,RW-9835,Road,M,Base,7,1367,Y,10/04/2025
DO-20086,D-129,Blue Ridge Cyclery,VT,09/27/2025,10/20/2025,RW-9304,MTB,S,Carbon,11,3527,Y,10/24/2025
DO-20091,D-123,Metro Velo,OR,09/27/2025,10/23/2025,RW-9324,MTB,M,Base,4,1655,Y,10/24/2025
DO-20066,D-141,Basin Bike Shop,CA,09/28/2025,10/25/2025,RW-3980,Road,S,Carbon,2,2879,Y,10/07/2025
DO-20072,D-133,Rimrock Cyclery,IL,09/28/2025,10/18/2025,RW-9835,Road,M,Base,4,1367,Y,10/07/2025
DO-20074,D-129,Blue Ridge Cyclery,VT,09/28/2025,10/23/2025,RW-2984,Road,M,Carbon,7,2879,Y,10/09/2025
DO-20076,D-145,Frontier Bicycle Works,UT,09/28/2025,10/15/2025,RW-2984,Road,M,Carbon,8,2879,Y,10/26/2025
DO-20098,D-109,Northstar Cycle Works,VT,09/28/2025,10/14/2025,RW-6416,MTB,L,Carbon,10,3527,Y,10/24/2025
DO-20103,D-137,Driftwood Bikes,FL,09/29/2025,10/13/2025,RW-9835,Road,M,Base,7,1367,Y,10/20/2025
DO-20107,D-107,Iron Horse Cycles,TX,09/29/2025,10/17/2025,RW-2984,Road,M,Carbon,3,2879,Y,10/10/2025
DO-20111,D-136,Capitol Cyclery,GA,09/29/2025,10/15/2025,RW-2984,Road,M,Carbon,1,2879,Y,10/08/2025
DO-20114,D-141,Basin Bike Shop,CA,09/29/2025,10/25/2025,RW-7298,Road,L,Base,3,1367,Y,10/21/2025
DO-20117,D-103,Cascade Cyclery,OR,09/29/2025,10/21/2025,RW-1378,Road,L,Carbon,9,2879,Y,10/07/2025
DO-20119,D-143,Overlook Bikes,OR,09/29/2025,10/27/2025,RW-9304,MTB,S,Carbon,8,3527,Y,10/28/2025
DO-20127,D-123,Metro Velo,OR,09/29/2025,10/13/2025,RW-4418,MTB,M,Carbon,3,3527,Y,10/20/2025
DO-20100,D-101,Summit Cycles,CA,09/30/2025,10/17/2025,RW-3980,Road,S,Carbon,11,2879,Y,10/27/2025
DO-20105,D-143,Overlook Bikes,OR,09/30/2025,10/17/2025,RW-9835,Road,M,Base,1,1367,Y,10/18/2025
DO-20121,D-128,Sierra Bike Works,NC,09/30/2025,10/25/2025,RW-9304,MTB,S,Carbon,3,3527,Y,10/12/2025
DO-20122,D-124,Foothills Bicycles,WA,09/30/2025,10/23/2025,RW-9304,MTB,S,Carbon,4,3527,Y,10/20/2025
DO-20125,D-116,Timberline Bikes,GA,09/30/2025,10/24/2025,RW-9324,MTB,M,Base,7,1655,Y,10/18/2025
DO-20126,D-122,Evergreen Cycle Shop,CO,09/30/2025,10/18/2025,RW-4418,MTB,M,Carbon,6,3527,Y,10/13/2025
DO-20131,D-118,Lakeshore Cyclery,ID,09/30/2025,10/15/2025,RW-9901,MTB,L,Base,7,1655,Y,10/09/2025
DO-20104,D-117,Mesa Verde Cycling,FL,10/01/2025,10/20/2025,RW-9835,Road,M,Base,3,1367,Y,10/11/2025
DO-20116,D-103,Cascade Cyclery,OR,10/01/2025,10/24/2025,RW-1378,Road,L,Carbon,2,2879,Y,10/25/2025
DO-20123,D-136,Capitol Cyclery,GA,10/01/2025,10/19/2025,RW-9324,MTB,M,Base,9,1655,Y,10/15/2025
DO-20130,D-127,Prairie Wind Cycling,TX,10/01/2025,10/18/2025,RW-9901,MTB,L,Base,5,1655,Y,10/17/2025
DO-20134,D-102,Ridgeback Bikes,CO,10/01/2025,10/23/2025,RW-6416,MTB,L,Carbon,1,3527,Y,10/14/2025
DO-20099,D-131,Copperline Cycles,MA,10/02/2025,10/24/2025,RW-3980,Road,S,Carbon,6,2879,Y,10/19/2025
DO-20102,D-124,Foothills Bicycles,WA,10/02/2025,10/23/2025,RW-9835,Road,M,Base,12,1367,Y,10/12/2025
DO-20108,D-144,Cedar Ridge Cycles,WA,10/02/2025,10/27/2025,RW-2984,Road,M,Carbon,11,2879,Y,10/15/2025
DO-20129,D-130,Big Sky Bikes,NY,10/02/2025,10/29/2025,RW-9901,MTB,L,Base,3,1655,Y,10/15/2025
DO-20132,D-145,Frontier Bicycle Works,UT,10/02/2025,10/19/2025,RW-9901,MTB,L,Base,1,1655,Y,10/21/2025
DO-20109,D-143,Overlook Bikes,OR,10/03/2025,10/21/2025,RW-2984,Road,M,Carbon,3,2879,Y,10/15/2025
DO-20113,D-131,Copperline Cycles,MA,10/03/2025,10/18/2025,RW-7298,Road,L,Base,10,1367,Y,10/17/2025
DO-20128,D-143,Overlook Bikes,OR,10/03/2025,10/18/2025,RW-4418,MTB,M,Carbon,5,3527,Y,10/19/2025
DO-20110,D-122,Evergreen Cycle Shop,CO,10/04/2025,10/22/2025,RW-2984,Road,M,Carbon,5,2879,Y,10/28/2025
DO-20118,D-108,Canyon Edge Bikes,NC,10/04/2025,10/26/2025,RW-9304,MTB,S,Carbon,4,3527,Y,10/21/2025
DO-20120,D-120,Stone Bridge Cycles,NM,10/04/2025,10/21/2025,RW-9304,MTB,S,Carbon,4,3527,Y,10/12/2025
DO-20124,D-105,Trailhead Bicycle Co,UT,10/04/2025,10/26/2025,RW-9324,MTB,M,Base,7,1655,Y,11/01/2025
DO-20133,D-116,Timberline Bikes,GA,10/04/2025,10/27/2025,RW-6416,MTB,L,Carbon,10,3527,Y,10/26/2025
DO-20101,D-129,Blue Ridge Cyclery,VT,10/05/2025,10/24/2025,RW-3980,Road,S,Carbon,5,2879,Y,11/01/2025
DO-20106,D-137,Driftwood Bikes,FL,10/05/2025,10/31/2025,RW-2984,Road,M,Carbon,7,2879,Y,10/19/2025
DO-20112,D-135,Elk Creek Cycles,MN,10/05/2025,10/24/2025,RW-7298,Road,L,Base,4,1367,Y,10/14/2025
DO-20115,D-106,Velo Republic,AZ,10/05/2025,11/02/2025,RW-7298,Road,L,Base,4,1367,Y,10/31/2025
DO-20146,D-141,Basin Bike Shop,CA,10/06/2025,10/20/2025,RW-2984,Road,M,Carbon,5,2879,Y,10/30/2025
DO-20147,D-143,Overlook Bikes,OR,10/06/2025,10/31/2025,RW-2984,Road,M,Carbon,2,2879,Y,10/16/2025
DO-20150,D-114,Coastal Ride Co,MI,10/06/2025,10/24/2025,RW-1378,Road,L,Carbon,11,2879,Y,10/23/2025
DO-20163,D-142,Wildflower Cyclery,CO,10/06/2025,10/29/2025,RW-6416,MTB,L,Carbon,8,3527,Y,10/22/2025
DO-20142,D-123,Metro Velo,OR,10/07/2025,10/27/2025,RW-9835,Road,M,Base,8,1367,Y,10/14/2025
DO-20151,D-122,Evergreen Cycle Shop,CO,10/07/2025,11/02/2025,RW-1378,Road,L,Carbon,6,2879,Y,10/26/2025
DO-20137,D-101,Summit Cycles,CA,10/08/2025,11/05/2025,RW-3980,Road,S,Carbon,2,2879,Y,10/30/2025
DO-20139,D-103,Cascade Cyclery,OR,10/08/2025,11/02/2025,RW-3980,Road,S,Carbon,2,2879,Y,10/15/2025
DO-20145,D-123,Metro Velo,OR,10/08/2025,10/28/2025,RW-2984,Road,M,Carbon,10,2879,Y,10/22/2025
DO-20158,D-131,Copperline Cycles,MA,10/08/2025,10/31/2025,RW-4418,MTB,M,Carbon,9,3527,Y,10/29/2025
DO-20143,D-141,Basin Bike Shop,CA,10/09/2025,11/06/2025,RW-9835,Road,M,Base,5,1367,Y,10/16/2025
DO-20144,D-145,Frontier Bicycle Works,UT,10/09/2025,11/04/2025,RW-9835,Road,M,Base,1,1367,Y,11/02/2025
DO-20156,D-103,Cascade Cyclery,OR,10/09/2025,10/25/2025,RW-9324,MTB,M,Base,12,1655,Y,11/07/2025
DO-20135,D-126,Harbor Bikes,AZ,10/10/2025,10/31/2025,RW-3980,Road,S,Carbon,3,2879,Y,10/21/2025
DO-20140,D-118,Lakeshore Cyclery,ID,10/10/2025,11/04/2025,RW-9835,Road,M,Base,6,1367,Y,10/25/2025
DO-20148,D-129,Blue Ridge Cyclery,VT,10/10/2025,10/30/2025,RW-7298,Road,L,Base,7,1367,Y,10/24/2025
DO-20154,D-117,Mesa Verde Cycling,FL,10/10/2025,11/05/2025,RW-9324,MTB,M,Base,4,1655,Y,10/25/2025
DO-20155,D-111,High Desert Cyclery,MA,10/10/2025,11/04/2025,RW-9324,MTB,M,Base,7,1655,Y,10/24/2025
DO-20159,D-107,Iron Horse Cycles,TX,10/10/2025,10/30/2025,RW-4418,MTB,M,Carbon,7,3527,Y,10/23/2025
DO-20160,D-130,Big Sky Bikes,NY,10/10/2025,10/27/2025,RW-9901,MTB,L,Base,5,1655,Y,10/26/2025
DO-20141,D-115,Alpine Wheels,MN,10/11/2025,10/28/2025,RW-9835,Road,M,Base,7,1367,Y,11/08/2025
DO-20149,D-143,Overlook Bikes,OR,10/11/2025,10/29/2025,RW-7298,Road,L,Base,9,1367,Y,10/25/2025
DO-20152,D-124,Foothills Bicycles,WA,10/11/2025,10/25/2025,RW-9304,MTB,S,Carbon,6,3527,Y,10/28/2025
DO-20153,D-110,Bluegrass Bicycles,NY,10/11/2025,10/28/2025,RW-9304,MTB,S,Carbon,8,3527,Y,11/05/2025
DO-20157,D-123,Metro Velo,OR,10/11/2025,11/03/2025,RW-9324,MTB,M,Base,8,1655,Y,11/08/2025
DO-20161,D-143,Overlook Bikes,OR,10/11/2025,10/30/2025,RW-9901,MTB,L,Base,5,1655,Y,11/09/2025
DO-20136,D-122,Evergreen Cycle Shop,CO,10/12/2025,11/04/2025,RW-3980,Road,S,Carbon,8,2879,Y,11/08/2025
DO-20138,D-120,Stone Bridge Cycles,NM,10/12/2025,11/05/2025,RW-3980,Road,S,Carbon,12,2879,Y,11/03/2025
DO-20162,D-124,Foothills Bicycles,WA,10/12/2025,11/04/2025,RW-9901,MTB,L,Base,2,1655,Y,11/08/2025
DO-20180,D-108,Canyon Edge Bikes,NC,10/13/2025,10/27/2025,RW-1378,Road,L,Carbon,1,2879,Y,11/05/2025
DO-20189,D-131,Copperline Cycles,MA,10/13/2025,11/04/2025,RW-4418,MTB,M,Carbon,4,3527,Y,10/23/2025
DO-20170,D-107,Iron Horse Cycles,TX,10/14/2025,10/30/2025,RW-9835,Road,M,Base,10,1367,Y,11/03/2025
DO-20178,D-135,Elk Creek Cycles,MN,10/14/2025,11/07/2025,RW-7298,Road,L,Base,1,1367,Y,11/06/2025
DO-20179,D-124,Foothills Bicycles,WA,10/14/2025,10/28/2025,RW-1378,Road,L,Carbon,12,2879,Y,10/26/2025
DO-20183,D-144,Cedar Ridge Cycles,WA,10/14/2025,11/03/2025,RW-9324,MTB,M,Base,4,1655,Y,11/11/2025
DO-20164,D-124,Foothills Bicycles,WA,10/15/2025,11/04/2025,RW-3980,Road,S,Carbon,3,2879,Y,10/23/2025
DO-20165,D-125,Switchback Cycles,UT,10/15/2025,10/30/2025,RW-3980,Road,S,Carbon,5,2879,Y,10/31/2025
DO-20168,D-139,Tidewater Bicycles,MT,10/15/2025,11/02/2025,RW-3980,Road,S,Carbon,4,2879,Y,10/31/2025
DO-20175,D-123,Metro Velo,OR,10/15/2025,11/09/2025,RW-2984,Road,M,Carbon,7,2879,Y,11/01/2025
DO-20191,D-120,Stone Bridge Cycles,NM,10/15/2025,11/01/2025,RW-6416,MTB,L,Carbon,3,3527,Y,11/04/2025
DO-20177,D-139,Tidewater Bicycles,MT,10/16/2025,11/09/2025,RW-7298,Road,L,Base,6,1367,Y,10/30/2025
DO-20184,D-129,Blue Ridge Cyclery,VT,10/16/2025,11/03/2025,RW-9324,MTB,M,Base,6,1655,Y,11/01/2025
DO-20187,D-136,Capitol Cyclery,GA,10/16/2025,11/11/2025,RW-9324,MTB,M,Base,4,1655,Y,11/11/2025
DO-20174,D-116,Timberline Bikes,GA,10/17/2025,11/06/2025,RW-2984,Road,M,Carbon,10,2879,Y,11/11/2025
DO-20190,D-138,Ironwood Cycle Co,ID,10/17/2025,11/09/2025,RW-9901,MTB,L,Base,9,1655,Y,11/07/2025
DO-20166,D-124,Foothills Bicycles,WA,10/18/2025,11/02/2025,RW-3980,Road,S,Carbon,9,2879,Y,11/04/2025
DO-20169,D-101,Summit Cycles,CA,10/18/2025,11/08/2025,RW-9835,Road,M,Base,6,1367,Y,10/31/2025
DO-20172,D-122,Evergreen Cycle Shop,CO,10/18/2025,11/02/2025,RW-9835,Road,M,Base,9,1367,Y,11/12/2025
DO-20181,D-125,Switchback Cycles,UT,10/18/2025,11/02/2025,RW-9304,MTB,S,Carbon,9,3527,Y,10/26/2025
DO-20185,D-118,Lakeshore Cyclery,ID,10/18/2025,11/12/2025,RW-9324,MTB,M,Base,9,1655,Y,10/26/2025
DO-20167,D-119,Pinecrest Bikes,MT,10/19/2025,11/13/2025,RW-3980,Road,S,Carbon,2,2879,Y,11/12/2025
DO-20171,D-102,Ridgeback Bikes,CO,10/19/2025,11/13/2025,RW-9835,Road,M,Base,7,1367,Y,11/14/2025
DO-20173,D-122,Evergreen Cycle Shop,CO,10/19/2025,11/04/2025,RW-2984,Road,M,Carbon,6,2879,Y,11/10/2025
DO-20176,D-132,Bayside Bicycle Co,PA,10/19/2025,11/02/2025,RW-7298,Road,L,Base,6,1367,Y,11/12/2025
DO-20182,D-129,Blue Ridge Cyclery,VT,10/19/2025,11/09/2025,RW-9304,MTB,S,Carbon,5,3527,Y,11/16/2025
DO-20186,D-129,Blue Ridge Cyclery,VT,10/19/2025,11/06/2025,RW-9324,MTB,M,Base,3,1655,Y,11/02/2025
DO-20188,D-115,Alpine Wheels,MN,10/19/2025,11/06/2025,RW-4418,MTB,M,Carbon,9,3527,Y,11/15/2025
DO-20198,D-122,Evergreen Cycle Shop,CO,10/20/2025,11/13/2025,RW-9835,Road,M,Base,2,1367,Y,11/14/2025
DO-20201,D-135,Elk Creek Cycles,MN,10/20/2025,11/16/2025,RW-2984,Road,M,Carbon,2,2879,Y,10/29/2025
DO-20203,D-132,Bayside Bicycle Co,PA,10/20/2025,11/13/2025,RW-7298,Road,L,Base,3,1367,Y,11/13/2025
DO-20207,D-131,Copperline Cycles,MA,10/20/2025,11/07/2025,RW-9304,MTB,S,Carbon,3,3527,Y,11/18/2025
DO-20214,D-102,Ridgeback Bikes,CO,10/20/2025,11/03/2025,RW-9324,MTB,M,Base,5,1655,Y,11/07/2025
DO-20215,D-102,Ridgeback Bikes,CO,10/20/2025,11/13/2025,RW-4418,MTB,M,Carbon,9,3527,Y,11/08/2025
DO-20197,D-136,Capitol Cyclery,GA,10/21/2025,11/12/2025,RW-9835,Road,M,Base,8,1367,Y,11/02/2025
DO-20200,D-127,Prairie Wind Cycling,TX,10/21/2025,11/10/2025,RW-2984,Road,M,Carbon,10,2879,Y,11/13/2025
DO-20212,D-115,Alpine Wheels,MN,10/21/2025,11/14/2025,RW-9324,MTB,M,Base,6,1655,Y,11/10/2025
DO-20192,D-126,Harbor Bikes,AZ,10/22/2025,11/14/2025,RW-3980,Road,S,Carbon,8,2879,Y,11/14/2025
DO-20195,D-137,Driftwood Bikes,FL,10/22/2025,11/08/2025,RW-9835,Road,M,Base,3,1367,Y,11/13/2025
DO-20196,D-136,Capitol Cyclery,GA,10/22/2025,11/12/2025,RW-9835,Road,M,Base,11,1367,Y,11/06/2025
