week_start,class,trim,capacity_units
2028-03-20,mtb,carbon,580
2028-03-27,mtb,carbon,580
2028-04-03,mtb,carbon,580
2028-04-10,mtb,carbon,580
2028-04-17,mtb,carbon,580
2028-04-24,mtb,carbon,580
2028-05-01,mtb,carbon,580
2028-05-08,mtb,carbon,580
2028-05-15,mtb,carbon,580
2028-05-22,mtb,carbon,580
2028-05-29,mtb,carbon,580
2028-06-05,mtb,carbon,580
2028-06-12,mtb,carbon,580
2028-06-19,mtb,carbon,580
2028-06-26,mtb,carbon,580
2028-07-03,mtb,carbon,580
2028-07-10,mtb,carbon,580
2028-07-17,mtb,carbon,580
2028-07-24,mtb,carbon,580
2028-07-31,mtb,carbon,580
2028-08-07,mtb,carbon,580
2028-08-14,mtb,carbon,580
2028-08-21,mtb,carbon,580
2028-08-28,mtb,carbon,580
2028-09-04,road,base,75
2028-09-11,road,base,75
2028-09-18,road,base,75
2028-09-25,road,base,75
2028-10-02,road,base,75
2028-10-09,road,base,75
2028-10-16,road,base,75
2028-10-23,road,base,75
2028-10-30,road,base,75
2028-11-06,road,base,75
2028-11-13,road,base,75
2028-11-20,road,base,75
2028-11-27,road,base,75
2028-12-04,road,base,75
2028-12-11,road,base,75
2028-12-18,road,base,75
2028-12-25,road,base,75
2028-09-04,road,carbon,215
2028-09-11,road,carbon,215
2028-09-18,road,carbon,215
2028-09-25,road,carbon,215
2028-10-02,road,carbon,215
2028-10-09,road,carbon,215
2028-10-16,road,carbon,215
2028-10-23,road,carbon,215
2028-10-30,road,carbon,215
2028-11-06,road,carbon,215
2028-11-13,road,carbon,215
2028-11-20,road,carbon,215
2028-11-27,road,carbon,215
2028-12-04,road,carbon,215
2028-12-11,road,carbon,215
2028-12-18,road,carbon,215
2028-12-25,road,carbon,215
2028-09-04,mtb,base,145
2028-09-11,mtb,base,145
2028-09-18,mtb,base,145
2028-09-25,mtb,base,145
2028-10-02,mtb,base,145
2028-10-09,mtb,base,145
2028-10-16,mtb,base,145
2028-10-23,mtb,base,145
2028-10-30,mtb,base,145
2028-11-06,mtb,base,145
2028-11-13,mtb,base,145
2028-11-20,mtb,base,145
2028-11-27,mtb,base,145
2028-12-04,mtb,base,145
2028-12-11,mtb,base,145
2028-12-18,mtb,base,145
2028-12-25,mtb,base,145
2028-09-04,mtb,carbon,875
2028-09-11,mtb,carbon,875
2028-09-18,mtb,carbon,875
2028-09-25,mtb,carbon,875
2028-10-02,mtb,carbon,875
2028-10-09,mtb,carbon,875
2028-10-16,mtb,carbon,875
2028-10-23,mtb,carbon,875
2028-10-30,mtb,carbon,875
2028-11-06,mtb,carbon,875
2028-11-13,mtb,carbon,875
2028-11-20,mtb,carbon,875
2028-11-27,mtb,carbon,875
2028-12-04,mtb,carbon,875
2028-12-11,mtb,carbon,875
2028-12-18,mtb,carbon,875
2028-12-25,mtb,carbon,875
