week_start,sku,forecast_units
2027-04-26,RW-9901,27
2027-04-26,RW-6416,10
2027-05-03,RW-3980,9
2027-05-03,RW-9835,23
2027-05-03,RW-2984,11
2027-05-03,RW-7298,14
2027-05-03,RW-1378,7
2027-05-03,RW-9304,15
2027-05-03,RW-9324,7
2027-05-03,RW-4418,17
2027-05-03,RW-9901,27
2027-05-03,RW-6416,10
2027-05-10,RW-3980,9
2027-05-10,RW-9835,23
2027-05-10,RW-2984,11
2027-05-10,RW-7298,14
2027-05-10,RW-1378,7
2027-05-10,RW-9304,15
2027-05-10,RW-9324,7
2027-05-10,RW-4418,17
2027-05-10,RW-9901,27
2027-05-10,RW-6416,10
2027-05-17,RW-3980,9
2027-05-17,RW-9835,23
2027-05-17,RW-2984,11
2027-05-17,RW-7298,14
2027-05-17,RW-1378,7
2027-05-17,RW-9304,15
2027-05-17,RW-9324,7
2027-05-17,RW-4418,17
2027-05-17,RW-9901,27
2027-05-17,RW-6416,10
2027-05-24,RW-3980,8
2027-05-24,RW-9835,23
2027-05-24,RW-2984,11
2027-05-24,RW-7298,14
2027-05-24,RW-1378,7
2027-05-24,RW-9304,15
2027-05-24,RW-9324,7
2027-05-24,RW-4418,17
2027-05-24,RW-9901,27
2027-05-24,RW-6416,10
2027-05-31,RW-3980,8
2027-05-31,RW-9835,23
2027-05-31,RW-2984,11
2027-05-31,RW-7298,14
2027-05-31,RW-1378,7
2027-05-31,RW-9304,15
2027-05-31,RW-9324,7
2027-05-31,RW-4418,18
2027-05-31,RW-9901,28
2027-05-31,RW-6416,11
2027-06-07,RW-3980,7
2027-06-07,RW-9835,19
2027-06-07,RW-2984,9
2027-06-07,RW-7298,11
2027-06-07,RW-1378,6
2027-06-07,RW-9304,12
2027-06-07,RW-9324,6
2027-06-07,RW-4418,15
2027-06-07,RW-9901,23
2027-06-07,RW-6416,9
2027-06-14,RW-3980,7
2027-06-14,RW-9835,19
2027-06-14,RW-2984,10
2027-06-14,RW-7298,11
2027-06-14,RW-1378,6
2027-06-14,RW-9304,13
2027-06-14,RW-9324,6
2027-06-14,RW-4418,15
2027-06-14,RW-9901,23
2027-06-14,RW-6416,9
2027-06-21,RW-3980,7
2027-06-21,RW-9835,19
2027-06-21,RW-2984,10
2027-06-21,RW-7298,11
2027-06-21,RW-1378,6
2027-06-21,RW-9304,13
2027-06-21,RW-9324,6
2027-06-21,RW-4418,15
2027-06-21,RW-9901,23
2027-06-21,RW-6416,9
2027-06-28,RW-3980,7
2027-06-28,RW-9835,19
2027-06-28,RW-2984,10
2027-06-28,RW-7298,11
2027-06-28,RW-1378,6
2027-06-28,RW-9304,13
2027-06-28,RW-9324,6
2027-06-28,RW-4418,15
2027-06-28,RW-9901,23
2027-06-28,RW-6416,9
2027-07-05,RW-3980,21
2027-07-05,RW-9835,18
2027-07-05,RW-2984,29
2027-07-05,RW-7298,11
2027-07-05,RW-1378,17
2027-07-05,RW-9304,13
2027-07-05,RW-9324,6
2027-07-05,RW-4418,15
2027-07-05,RW-9901,23
2027-07-05,RW-6416,9
2027-07-12,RW-3980,21
2027-07-12,RW-9835,18
2027-07-12,RW-2984,29
2027-07-12,RW-7298,11
2027-07-12,RW-1378,17
2027-07-12,RW-9304,13
2027-07-12,RW-9324,6
2027-07-12,RW-4418,16
2027-07-12,RW-9901,23
2027-07-12,RW-6416,9
2027-07-19,RW-3980,21
2027-07-19,RW-9835,18
2027-07-19,RW-2984,29
2027-07-19,RW-7298,11
2027-07-19,RW-1378,17
2027-07-19,RW-9304,13
2027-07-19,RW-9324,6
2027-07-19,RW-4418,16
2027-07-19,RW-9901,23
2027-07-19,RW-6416,9
2027-07-26,RW-3980,7
2027-07-26,RW-9835,18
2027-07-26,RW-2984,10
2027-07-26,RW-7298,11
2027-07-26,RW-1378,6
2027-07-26,RW-9304,13
2027-07-26,RW-9324,6
2027-07-26,RW-4418,16
2027-07-26,RW-9901,23
2027-07-26,RW-6416,10
2027-08-02,RW-3980,7
2027-08-02,RW-9835,18
2027-08-02,RW-2984,10
2027-08-02,RW-7298,11
2027-08-02,RW-1378,6
2027-08-02,RW-9304,13
2027-08-02,RW-9324,6
2027-08-02,RW-4418,16
2027-08-02,RW-9901,23
2027-08-02,RW-6416,10
2027-08-09,RW-3980,7
2027-08-09,RW-9835,18
2027-08-09,RW-2984,10
2027-08-09,RW-7298,11
2027-08-09,RW-1378,6
2027-08-09,RW-9304,13
2027-08-09,RW-9324,6
2027-08-09,RW-4418,16
2027-08-09,RW-9901,23
2027-08-09,RW-6416,10
2027-08-16,RW-3980,7
2027-08-16,RW-9835,18
2027-08-16,RW-2984,10
2027-08-16,RW-7298,11
2027-08-16,RW-1378,6
2027-08-16,RW-9304,13
2027-08-16,RW-9324,6
2027-08-16,RW-4418,16
2027-08-16,RW-9901,23
2027-08-16,RW-6416,10
2027-08-23,RW-3980,7
2027-08-23,RW-9835,18
2027-08-23,RW-2984,10
2027-08-23,RW-7298,11
2027-08-23,RW-1378,6
2027-08-23,RW-9304,13
2027-08-23,RW-9324,6
2027-08-23,RW-4418,16
2027-08-23,RW-9901,23
2027-08-23,RW-6416,10
2027-08-30,RW-3980,7
2027-08-30,RW-9835,18
2027-08-30,RW-2984,10
2027-08-30,RW-7298,11
2027-08-30,RW-1378,6
2027-08-30,RW-9304,13
2027-08-30,RW-9324,6
2027-08-30,RW-4418,17
2027-08-30,RW-9901,24
2027-08-30,RW-6416,10
2027-09-06,RW-3980,4
2027-09-06,RW-9835,11
2027-09-06,RW-2984,6
2027-09-06,RW-7298,6
2027-09-06,RW-1378,3
2027-09-06,RW-9304,8
2027-09-06,RW-9324,4
2027-09-06,RW-4418,10
2027-09-06,RW-9901,14
2027-09-06,RW-6416,6
2027-09-13,RW-3980,4
2027-09-13,RW-9835,10
2027-09-13,RW-2984,6
2027-09-13,RW-7298,6
2027-09-13,RW-1378,3
2027-09-13,RW-9304,8
2027-09-13,RW-9324,4
2027-09-13,RW-4418,10
2027-09-13,RW-9901,14
2027-09-13,RW-6416,6
2027-09-20,RW-3980,4
2027-09-20,RW-9835,10
2027-09-20,RW-2984,6
2027-09-20,RW-7298,6
2027-09-20,RW-1378,3
2027-09-20,RW-9304,8
2027-09-20,RW-9324,4
2027-09-20,RW-4418,10
2027-09-20,RW-9901,14
2027-09-20,RW-6416,6
2027-09-27,RW-3980,4
2027-09-27,RW-9835,10
2027-09-27,RW-2984,6
2027-09-27,RW-7298,6
2027-09-27,RW-1378,3
2027-09-27,RW-9304,8
2027-09-27,RW-9324,4
2027-09-27,RW-4418,10
2027-09-27,RW-9901,14
2027-09-27,RW-6416,6
2027-10-04,RW-3980,4
2027-10-04,RW-9835,10
2027-10-04,RW-2984,6
2027-10-04,RW-7298,6
2027-10-04,RW-1378,3
2027-10-04,RW-9304,8
2027-10-04,RW-9324,4
2027-10-04,RW-4418,10
2027-10-04,RW-9901,14
2027-10-04,RW-6416,6
2027-10-11,RW-3980,4
2027-10-11,RW-9835,10
2027-10-11,RW-2984,6
2027-10-11,RW-7298,6
2027-10-11,RW-1378,3
2027-10-11,RW-9304,8
2027-10-11,RW-9324,4
2027-10-11,RW-4418,11
2027-10-11,RW-9901,14
2027-10-11,RW-6416,6
2027-10-18,RW-3980,4
2027-10-18,RW-9835,10
2027-10-18,RW-2984,6
2027-10-18,RW-7298,6
2027-10-18,RW-1378,3
2027-10-18,RW-9304,8
2027-10-18,RW-9324,4
2027-10-18,RW-4418,11
2027-10-18,RW-9901,14
2027-10-18,RW-6416,6
2027-10-25,RW-3980,4
2027-10-25,RW-9835,10
2027-10-25,RW-2984,6
2027-10-25,RW-7298,6
2027-10-25,RW-1378,3
2027-10-25,RW-9304,8
2027-10-25,RW-9324,4
2027-10-25,RW-4418,11
2027-10-25,RW-9901,14
2027-10-25,RW-6416,6
2027-11-01,RW-3980,4
2027-11-01,RW-9835,10
2027-11-01,RW-2984,6
2027-11-01,RW-7298,6
2027-11-01,RW-1378,3
2027-11-01,RW-9304,8
2027-11-01,RW-9324,4
2027-11-01,RW-4418,11
2027-11-01,RW-9901,14
2027-11-01,RW-6416,7
2027-11-08,RW-3980,4
2027-11-08,RW-9835,10
2027-11-08,RW-2984,6
2027-11-08,RW-7298,6
2027-11-08,RW-1378,3
2027-11-08,RW-9304,9
2027-11-08,RW-9324,4
2027-11-08,RW-4418,11
2027-11-08,RW-9901,14
2027-11-08,RW-6416,7
2027-11-15,RW-3980,4
2027-11-15,RW-9835,10
2027-11-15,RW-2984,6
2027-11-15,RW-7298,6
2027-11-15,RW-1378,3
2027-11-15,RW-9304,9
2027-11-15,RW-9324,4
2027-11-15,RW-4418,11
2027-11-15,RW-9901,14
2027-11-15,RW-6416,7
2027-11-22,RW-3980,4
2027-11-22,RW-9835,10
2027-11-22,RW-2984,6
2027-11-22,RW-7298,6
2027-11-22,RW-1378,3
2027-11-22,RW-9304,9
2027-11-22,RW-9324,4
2027-11-22,RW-4418,11
2027-11-22,RW-9901,14
2027-11-22,RW-6416,7
2027-11-29,RW-3980,4
2027-11-29,RW-9835,10
2027-11-29,RW-2984,6
2027-11-29,RW-7298,6
2027-11-29,RW-1378,3
2027-11-29,RW-9304,9
2027-11-29,RW-9324,4
2027-11-29,RW-4418,11
2027-11-29,RW-9901,14
2027-11-29,RW-6416,7
2027-12-06,RW-3980,5
2027-12-06,RW-9835,12
2027-12-06,RW-2984,7
2027-12-06,RW-7298,7
2027-12-06,RW-1378,4
2027-12-06,RW-9304,11
2027-12-06,RW-9324,5
2027-12-06,RW-4418,14
2027-12-06,RW-9901,18
2027-12-06,RW-6416,9
2027-12-13,RW-3980,5
2027-12-13,RW-9835,12
2027-12-13,RW-2984,7
2027-12-13,RW-7298,7
2027-12-13,RW-1378,4
2027-12-13,RW-9304,11
2027-12-13,RW-9324,5
2027-12-13,RW-4418,14
2027-12-13,RW-9901,18
2027-12-13,RW-6416,9
2027-12-20,RW-3980,5
2027-12-20,RW-9835,12
2027-12-20,RW-2984,7
2027-12-20,RW-7298,7
2027-12-20,RW-1378,4
2027-12-20,RW-9304,11
2027-12-20,RW-9324,5
2027-12-20,RW-4418,15
2027-12-20,RW-9901,18
2027-12-20,RW-6416,9
2027-12-27,RW-3980,5
2027-12-27,RW-9835,12
2027-12-27,RW-2984,7
2027-12-27,RW-7298,7
2027-12-27,RW-1378,4
2027-12-27,RW-9304,11
2027-12-27,RW-9324,5
2027-12-27,RW-4418,15
2027-12-27,RW-9901,18
2027-12-27,RW-6416,9
2028-01-03,RW-3980,5
2028-01-03,RW-9835,12
2028-01-03,RW-2984,7
2028-01-03,RW-7298,7
2028-01-03,RW-1378,4
2028-01-03,RW-9304,11
2028-01-03,RW-9324,5
2028-01-03,RW-4418,15
2028-01-03,RW-9901,18
2028-01-03,RW-6416,9
2028-01-10,RW-3980,5
2028-01-10,RW-9835,12
2028-01-10,RW-2984,7
2028-01-10,RW-7298,7
2028-01-10,RW-1378,4
2028-01-10,RW-9304,11
2028-01-10,RW-9324,5
2028-01-10,RW-4418,15
2028-01-10,RW-9901,18
2028-01-10,RW-6416,9
2028-01-17,RW-3980,5
2028-01-17,RW-9835,12
2028-01-17,RW-2984,7
2028-01-17,RW-7298,7
2028-01-17,RW-1378,4
2028-01-17,RW-9304,11
2028-01-17,RW-9324,5
2028-01-17,RW-4418,15
2028-01-17,RW-9901,18
2028-01-17,RW-6416,9
2028-01-24,RW-3980,5
2028-01-24,RW-9835,12
2028-01-24,RW-2984,7
2028-01-24,RW-7298,7
2028-01-24,RW-1378,4
2028-01-24,RW-9304,11
2028-01-24,RW-9324,5
2028-01-24,RW-4418,15
2028-01-24,RW-9901,18
2028-01-24,RW-6416,9
2028-01-31,RW-3980,5
2028-01-31,RW-9835,12
2028-01-31,RW-2984,7
2028-01-31,RW-7298,7
2028-01-31,RW-1378,4
2028-01-31,RW-9304,11
2028-01-31,RW-9324,5
2028-01-31,RW-4418,15
2028-01-31,RW-9901,18
2028-01-31,RW-6416,9
2028-02-07,RW-3980,5
2028-02-07,RW-9835,12
2028-02-07,RW-2984,7
2028-02-07,RW-7298,7
2028-02-07,RW-1378,4
2028-02-07,RW-9304,11
2028-02-07,RW-9324,5
2028-02-07,RW-4418,16
2028-02-07,RW-9901,18
2028-02-07,RW-6416,9
2028-02-14,RW-3980,5
2028-02-14,RW-9835,11
2028-02-14,RW-2984,7
2028-02-14,RW-7298,7
2028-02-14,RW-1378,4
2028-02-14,RW-9304,12
2028-02-14,RW-9324,5
2028-02-14,RW-4418,16
2028-02-14,RW-9901,18
2028-02-14,RW-6416,9
2028-02-21,RW-3980,5
2028-02-21,RW-9835,11
2028-02-21,RW-2984,7
2028-02-21,RW-7298,7
2028-02-21,RW-1378,4
2028-02-21,RW-9304,12
2028-02-21,RW-9324,5
2028-02-21,RW-4418,16
2028-02-21,RW-9901,18
2028-02-21,RW-6416,9
2028-02-28,RW-3980,5
2028-02-28,RW-9835,11
2028-02-28,RW-2984,7
2028-02-28,RW-7298,7
2028-02-28,RW-1378,4
2028-02-28,RW-9304,12
2028-02-28,RW-9324,5
2028-02-28,RW-4418,16
2028-02-28,RW-9901,18
2028-02-28,RW-6416,10
2028-03-06,RW-3980,8
2028-03-06,RW-9835,18
2028-03-06,RW-2984,12
2028-03-06,RW-7298,11
2028-03-06,RW-1378,7
2028-03-06,RW-9304,19
2028-03-06,RW-9324,7
2028-03-06,RW-4418,26
2028-03-06,RW-9901,30
2028-03-06,RW-6416,15
2028-03-13,RW-3980,8
2028-03-13,RW-9835,18
2028-03-13,RW-2984,12
2028-03-13,RW-7298,11
2028-03-13,RW-1378,7
2028-03-13,RW-9304,19
2028-03-13,RW-9324,7
2028-03-13,RW-4418,26
2028-03-13,RW-9901,30
2028-03-13,RW-6416,16
2028-03-20,RW-3980,8
2028-03-20,RW-9835,18
2028-03-20,RW-2984,12
2028-03-20,RW-7298,11
2028-03-20,RW-1378,7
2028-03-20,RW-9304,19
2028-03-20,RW-9324,7
2028-03-20,RW-4418,26
2028-03-20,RW-9901,30
2028-03-20,RW-6416,16
2028-03-27,RW-3980,8
2028-03-27,RW-9835,18
2028-03-27,RW-2984,12
2028-03-27,RW-7298,11
2028-03-27,RW-1378,7
2028-03-27,RW-9304,19
2028-03-27,RW-9324,7
2028-03-27,RW-4418,26
2028-03-27,RW-9901,30
2028-03-27,RW-6416,16
2028-04-03,RW-3980,8
2028-04-03,RW-9835,18
2028-04-03,RW-2984,12
2028-04-03,RW-7298,11
2028-04-03,RW-1378,7
2028-04-03,RW-9304,19
2028-04-03,RW-9324,7
2028-04-03,RW-4418,27
2028-04-03,RW-9901,30
2028-04-03,RW-6416,16
2028-04-10,RW-3980,8
2028-04-10,RW-9835,17
2028-04-10,RW-2984,12
2028-04-10,RW-7298,10
2028-04-10,RW-1378,7
2028-04-10,RW-9304,19
2028-04-10,RW-9324,7
2028-04-10,RW-4418,27
2028-04-10,RW-9901,30
2028-04-10,RW-6416,16
2028-04-17,RW-3980,8
2028-04-17,RW-9835,17
2028-04-17,RW-2984,12
2028-04-17,RW-7298,10
2028-04-17,RW-1378,7
2028-04-17,RW-9304,19
2028-04-17,RW-9324,7
2028-04-17,RW-4418,27
2028-04-17,RW-9901,30
2028-04-17,RW-6416,16
2028-04-24,RW-3980,8
2028-04-24,RW-9835,17
2028-04-24,RW-2984,12
2028-04-24,RW-7298,10
2028-04-24,RW-1378,7
2028-04-24,RW-9304,20
2028-04-24,RW-9324,7
2028-04-24,RW-4418,27
2028-04-24,RW-9901,30
2028-04-24,RW-6416,16
2028-05-01,RW-3980,8
2028-05-01,RW-9835,17
2028-05-01,RW-2984,12
2028-05-01,RW-7298,10
2028-05-01,RW-1378,7
2028-05-01,RW-9304,20
2028-05-01,RW-9324,7
2028-05-01,RW-4418,28
2028-05-01,RW-9901,30
2028-05-01,RW-6416,17
2028-05-08,RW-3980,8
2028-05-08,RW-9835,17
2028-05-08,RW-2984,12
2028-05-08,RW-7298,10
2028-05-08,RW-1378,7
2028-05-08,RW-9304,20
2028-05-08,RW-9324,7
2028-05-08,RW-4418,28
2028-05-08,RW-9901,30
2028-05-08,RW-6416,17
2028-05-15,RW-3980,7
2028-05-15,RW-9835,17
2028-05-15,RW-2984,12
2028-05-15,RW-7298,10
2028-05-15,RW-1378,7
2028-05-15,RW-9304,20
2028-05-15,RW-9324,8
2028-05-15,RW-4418,28
2028-05-15,RW-9901,30
2028-05-15,RW-6416,17
2028-05-22,RW-3980,7
2028-05-22,RW-9835,17
2028-05-22,RW-2984,12
2028-05-22,RW-7298,10
2028-05-22,RW-1378,7
2028-05-22,RW-9304,20
2028-05-22,RW-9324,8
2028-05-22,RW-4418,28
2028-05-22,RW-9901,30
2028-05-22,RW-6416,17
2028-05-29,RW-3980,7
2028-05-29,RW-9835,17
2028-05-29,RW-2984,12
2028-05-29,RW-7298,10
2028-05-29,RW-1378,7
2028-05-29,RW-9304,20
2028-05-29,RW-9324,8
2028-05-29,RW-4418,29
2028-05-29,RW-9901,30
2028-05-29,RW-6416,17
2028-06-05,RW-3980,6
2028-06-05,RW-9835,14
2028-06-05,RW-2984,10
2028-06-05,RW-7298,8
2028-06-05,RW-1378,6
2028-06-05,RW-9304,17
2028-06-05,RW-9324,6
2028-06-05,RW-4418,24
2028-06-05,RW-9901,25
2028-06-05,RW-6416,15
2028-06-12,RW-3980,6
2028-06-12,RW-9835,14
2028-06-12,RW-2984,10
2028-06-12,RW-7298,8
2028-06-12,RW-1378,6
2028-06-12,RW-9304,17
2028-06-12,RW-9324,6
2028-06-12,RW-4418,24
2028-06-12,RW-9901,25
2028-06-12,RW-6416,15
2028-06-19,RW-3980,6
